,상호,주소,가격,셀프,상표,구
402,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),1549.0,Y,SK에너지,도봉구
403,노원교주유소,서울 도봉구 마들로 776 (도봉동),1563.0,Y,현대오일뱅크,도봉구
404,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1565.0,Y,GS칼텍스,도봉구
405,오복주유소,서울 도봉구 방학로 43,1584.0,Y,S-OIL,도봉구
406,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),1598.0,Y,현대오일뱅크,도봉구
407,HD현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,1627.0,N,현대오일뱅크,도봉구
408,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),1569.0,Y,SK에너지,강남구
409,방죽주유소,서울 강남구 밤고개로 215 (율현동),1577.0,Y,GS칼텍스,강남구
410,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),1579.0,Y,현대오일뱅크,강남구
411,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,1579.0,Y,현대오일뱅크,강남구
412,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1579.0,Y,SK에너지,강남구
413,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),1589.0,Y,SK에너지,강남구
414,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),1594.0,N,현대오일뱅크,강남구
415,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),1609.0,Y,S-OIL,강남구
416,일원주유소,서울 강남구 양재대로55길 3 (일원동),1615.0,Y,S-OIL,강남구
417,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),1615.0,Y,SK에너지,강남구
418,삼성동주유소,서울 강남구 테헤란로 619 (삼성동),1619.0,Y,현대오일뱅크,강남구
419,대교셀프주유소,서울 강남구 강남대로 640 (신사동),1660.0,Y,SK에너지,강남구
420,SK서광주유소,서울 강남구 역삼로 142,1665.0,Y,SK에너지,강남구
421,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1684.0,N,S-OIL,강남구
422,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,1684.0,N,SK에너지,강남구
423,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,1687.0,Y,SK에너지,강남구
424,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),1694.0,N,GS칼텍스,강남구
425,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),1697.0,Y,SK에너지,강남구
426,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,1699.0,Y,SK에너지,강남구
427,에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,1758.0,Y,GS칼텍스,강남구
428,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,1840.0,N,GS칼텍스,강남구
429,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),1898.0,N,현대오일뱅크,강남구
430,지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),1908.0,N,GS칼텍스,강남구
431,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,1939.0,N,GS칼텍스,강남구
432,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),1940.0,Y,GS칼텍스,강남구
433,HD현대오일뱅크㈜직영 한양주유소,서울 강남구 압구정로 302 (신사동),1998.0,N,현대오일뱅크,강남구
434,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,2089.0,N,GS칼텍스,강남구
435,명품주유소,서울 강남구 도곡로 249 (역삼동),2128.0,N,S-OIL,강남구
436,대청주유소,서울 강남구 개포로 654 (일원동),2176.0,N,SK에너지,강남구
437,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,2188.0,N,현대오일뱅크,강남구
438,갤러리아주유소,서울 강남구 압구정로 426,2262.0,N,SK에너지,강남구
439,SK논현주유소,서울 강남구 논현로 747 (논현동),2355.0,N,SK에너지,강남구
440,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,2398.0,N,현대오일뱅크,강남구
441,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),2578.0,N,GS칼텍스,강남구
