,상호,주소,가격,셀프,상표,구
210,성원이앤에스(주)영등포지점,서울 영등포구 국회대로52길 9-13 (영등포동7가),1898.0,N,GS칼텍스,영등포구
211,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),2050.0,N,SK에너지,영등포구
212,SK KH에너지 여의도주유소,서울 영등포구 국회대로 794 (여의도동),2110.0,N,SK에너지,영등포구
213,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,2199.0,N,GS칼텍스,영등포구
214,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),1509.0,Y,SK에너지,강북구
215,북서울고속주유소,서울 강북구 삼양로 410 (수유동),1509.0,Y,SK에너지,강북구
216,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),1509.0,Y,현대오일뱅크,강북구
217,(주)석산에너지,서울 강북구 삼양로 316 (수유동),1509.0,Y,현대오일뱅크,강북구
218,덕릉로주유소,서울 강북구 덕릉로 158 (번동),1518.0,Y,S-OIL,강북구
219,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),1518.0,Y,S-OIL,강북구
220,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),1518.0,Y,GS칼텍스,강북구
221,수유동주유소,서울 강북구 도봉로 395 (수유동),1519.0,Y,GS칼텍스,강북구
222,HD현대오일뱅크㈜직영 번동셀프주유소,서울 강북구 한천로 963 (번동),1537.0,Y,현대오일뱅크,강북구
223,대성석유(주)신광주유소,서울 강북구 삼양로 484,1539.0,N,GS칼텍스,강북구
224,세원주유소,서울 강북구 한천로 918 (번동),1548.0,Y,SK에너지,강북구
225,에덴주유소,서울 강북구 월계로 195 (번동),1627.0,Y,SK에너지,강북구
226,HD현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),1798.0,N,현대오일뱅크,용산구
227,동자동주유소,서울 용산구 한강대로104길 6 (동자동),1995.0,N,SK에너지,용산구
228,HD현대오일뱅크㈜직영 갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),1995.0,N,현대오일뱅크,용산구
229,(주)남경주유소,서울 용산구 녹사평대로11길 24,1999.0,N,SK에너지,용산구
230,HD현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),1999.0,N,현대오일뱅크,용산구
231,HD현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),1999.0,N,현대오일뱅크,용산구
232,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),2019.0,N,GS칼텍스,용산구
233,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),2021.0,N,SK에너지,용산구
234,한석주유소,서울 용산구 이촌로 164,2195.0,N,SK에너지,용산구
235,에너비스,서울 용산구 한남대로 82 (한남동),2217.0,N,SK에너지,용산구
236,한남지점,서울 용산구 한남대로21길 4 (한남동),2217.0,N,SK에너지,용산구
237,서계주유소,서울 용산구  청파로 367 (청파동),2585.0,N,GS칼텍스,용산구
